time,high
2018-09-11 20:00:00,6293.63
2018-09-11 19:00:00,6321
2018-09-11 18:00:00,6336.17
2018-09-11 17:00:00,6346.51
2018-09-11 16:00:00,6329.77
2018-09-11 15:00:00,6340.58
2018-09-11 14:00:00,6350
2018-09-11 13:00:00,6344.96
2018-09-11 12:00:00,6363.79
2018-09-11 11:00:00,6377.6
2018-09-11 10:00:00,6397.74
2018-09-11 09:00:00,6381.06
2018-09-11 08:00:00,6345
2018-09-11 07:00:00,6319
2018-09-11 06:00:00,6299.59
2018-09-11 05:00:00,6316.74
2018-09-11 04:00:00,6340
2018-09-11 03:00:00,6277.49
2018-09-11 02:00:00,6290
2018-09-11 01:00:00,6282.66
2018-09-11 00:00:00,6301
2018-09-10 23:00:00,6310.86
2018-09-10 22:00:00,6348.78
2018-09-10 21:00:00,6318.41
2018-09-10 20:00:00,6316.74
2018-09-10 19:00:00,6322.4
2018-09-10 18:00:00,6320.26
2018-09-10 17:00:00,6305.91
2018-09-10 16:00:00,6333.64
2018-09-10 15:00:00,6349.04
2018-09-10 14:00:00,6331.98
2018-09-10 13:00:00,6308.42
2018-09-10 12:00:00,6314.8
2018-09-10 11:00:00,6322.56
2018-09-10 10:00:00,6350
2018-09-10 09:00:00,6381
2018-09-10 08:00:00,6277.91
2018-09-10 07:00:00,6289.45
2018-09-10 06:00:00,6373.07
2018-09-10 05:00:00,6394.65
2018-09-10 04:00:00,6394.95
2018-09-10 03:00:00,6392.41
2018-09-10 02:00:00,6394.51
2018-09-10 01:00:00,6389.9
2018-09-10 00:00:00,6387.71
2018-09-09 23:00:00,6391.22
2018-09-09 22:00:00,6430
2018-09-09 21:00:00,6449
2018-09-09 20:00:00,6408
2018-09-09 19:00:00,6389
2018-09-09 18:00:00,6396.09
2018-09-09 17:00:00,6448.35
2018-09-09 16:00:00,6204.04
2018-09-09 15:00:00,6200.01
2018-09-09 14:00:00,6197.77
2018-09-09 13:00:00,6189.27
2018-09-09 12:00:00,6193.12
2018-09-09 11:00:00,6182.25
2018-09-09 10:00:00,6205.91
2018-09-09 09:00:00,6207.24
2018-09-09 08:00:00,6185
2018-09-09 07:00:00,6195
2018-09-09 06:00:00,6205
2018-09-09 05:00:00,6184.17
2018-09-09 04:00:00,6184.43
2018-09-09 03:00:00,6205.74
