time,open,close,low,high,amount,vol,count
2018-09-18 10:00:00,6256.32,6251.0,6237.63,6257.8,390.21011057110576,2437467.547279622,1902
2018-09-18 09:00:00,6252.2,6256.07,6250.0,6264.88,495.0431273838858,3097323.3865967393,2841
2018-09-18 08:00:00,6252.8,6251.95,6222.0,6259.0,480.9674588807851,3003292.472080258,4544
2018-09-18 07:00:00,6251.27,6251.19,6250.0,6278.99,463.31035583656023,2902817.7877362184,3914
2018-09-18 06:00:00,6250.61,6251.27,6230.0,6273.12,548.7083099254758,3429099.6523438306,4400
2018-09-18 05:00:00,6223.34,6249.26,6221.23,6261.92,386.64266591862565,2417730.2635691073,4145
2018-09-18 04:00:00,6270.75,6223.36,6213.09,6270.75,991.3378343794033,6185403.295102023,10287
2018-09-18 03:00:00,6298.22,6270.75,6250.0,6311.16,239.12960788600506,1502146.2788479524,3851
2018-09-18 02:00:00,6297.57,6297.93,6283.0,6320.34,444.831715366667,2806557.503244603,3467
2018-09-18 01:00:00,6266.04,6297.59,6264.27,6298.29,430.1318114515778,2700214.75179015,3163
2018-09-18 00:00:00,6266.76,6266.04,6263.99,6295.04,781.7423757952012,4910036.7504310645,5405
2018-09-17 23:00:00,6355.06,6266.11,6222.89,6355.47,2005.6908976421525,12595285.180282693,14509
2018-09-17 22:00:00,6423.13,6355.46,6327.27,6427.11,1418.383694961636,9020867.841670385,9465
2018-09-17 21:00:00,6452.6,6421.79,6390.0,6463.48,717.4152434819845,4615953.428847795,5248
2018-09-17 20:00:00,6475.83,6452.6,6440.26,6475.83,702.1177339466254,4532059.053283527,4760
2018-09-17 19:00:00,6476.13,6475.45,6467.3,6489.71,386.88455293034195,2506950.850154386,2830
2018-09-17 18:00:00,6496.61,6476.13,6474.39,6504.97,461.2433887498645,2994432.769507806,3200
2018-09-17 17:00:00,6479.79,6496.66,6419.99,6508.8,720.4492194970509,4663953.318563681,5464
2018-09-17 16:00:00,6480.95,6479.8,6463.24,6480.95,490.0665944390801,3172036.381101784,3582
2018-09-17 15:00:00,6484.81,6481.01,6455.76,6485.72,602.6675967414267,3898835.002468813,5431
2018-09-17 14:00:00,6484.1,6484.84,6470.14,6492.0,395.0750250414521,2561476.149825937,2898
2018-09-17 13:00:00,6475.94,6483.9,6462.72,6490.1,487.2789012668138,3156492.14626881,3341
2018-09-17 12:00:00,6519.67,6474.64,6467.77,6520.0,617.0823782394573,4009346.2559187626,4660
2018-09-17 11:00:00,6516.73,6519.69,6507.2,6519.86,345.53770473230907,2250697.784471736,2133
2018-09-17 10:00:00,6518.93,6518.68,6504.41,6520.0,463.6881942393505,3020434.8336196574,2490
2018-09-17 09:00:00,6525.39,6518.89,6513.25,6531.6,459.49001191700273,2996280.3493203637,3318
2018-09-17 08:00:00,6501.74,6525.41,6499.1,6534.14,921.8632099741819,6014921.344601144,4223
2018-09-17 07:00:00,6499.36,6501.77,6491.18,6510.04,572.6030598894157,3721325.499062174,2007
